Date,Value Date,Instrument No.,Particulars,Debit,Credit,Balance
08 Feb 2025,08 Feb 2025,402856,Mobile App MARYAM BEGUM,23371.88,1650.36,389315.27
05 Feb 2025,05 Feb 2025,369364,Mobile App MARYAM BEGUM,8823.13,20193.5,439971.41
16 Nov 2024,16 Nov 2024,027374,INET Inter Bank Fund Transfer Charges,20991.55,19631.7,12175.1
08 Dec 2024,08 Dec 2024,,INET Inter Bank Fund Transfer Charges,4076.47,3750.38,121499.97
24 Dec 2024,24 Dec 2024,243258,Mobile App MARYAM BEGUM,22690.45,17665.68,110493.69
11 Jan 2025,11 Jan 2025,,Mobile App MARYAM BEGUM,21822.7,1517.2,131074.27
09 Feb 2025,09 Feb 2025,,Raast IBFT to IQRA PARVEEN,19003.44,61.68,95233.79
15 Nov 2024,15 Nov 2024,489853,Mobile App MARYAM BEGUM,4629.18,19555.54,234658.01
02 Dec 2024,02 Dec 2024,,Mobile App MARYAM BEGUM,9911.59,24814.43,53901.88
07 Feb 2025,07 Feb 2025,517615,Raast IBFT to IQRA PARVEEN,11701.66,22798.34,486914.04
06 Dec 2024,06 Dec 2024,298786,INET Inter Bank Fund Transfer Charges,19290.68,8822.92,231786.95
09 Jan 2025,09 Jan 2025,943772,Mobile App MARYAM BEGUM,10826.85,13611.44,166716.1
30 Dec 2024,30 Dec 2024,228311,Mobile App MARYAM BEGUM,8278.01,14834.03,457355.26
13 Nov 2024,13 Nov 2024,,INET Inter Bank Fund Transfer Charges,20290.3,13165.38,20530.14
05 Feb 2025,05 Feb 2025,,Raast IBFT to IQRA PARVEEN,24090.51,5980.6,48694.0
03 Dec 2024,03 Dec 2024,050651,Mobile App MARYAM BEGUM,3190.32,19300.87,407405.42
21 Jan 2025,21 Jan 2025,275212,INET Inter Bank Fund Transfer Charges,1483.48,6935.64,218126.19
07 Feb 2025,07 Feb 2025,207240,Raast IBFT to OMAR ZAMAN,13655.93,566.81,436047.55
30 Nov 2024,30 Nov 2024,,Raast IBFT to OMAR ZAMAN,6897.76,14620.37,36830.64
27 Nov 2024,27 Nov 2024,361711,Mobile App MARYAM BEGUM,4879.5,15467.95,217302.35
15 Nov 2024,15 Nov 2024,319512,INET Inter Bank Fund Transfer Charges,24084.75,1499.53,371292.76
18 Jan 2025,18 Jan 2025,164884,Raast IBFT to OMAR ZAMAN,5963.99,12352.31,413657.94
05 Nov 2024,05 Nov 2024,957976,Mobile App MARYAM BEGUM,9977.57,13061.44,201645.02
05 Nov 2024,05 Nov 2024,,Raast IBFT to OMAR ZAMAN,2861.31,19130.03,464330.41
25 Jan 2025,25 Jan 2025,,Mobile App MARYAM BEGUM,21456.56,23969.86,419476.07
07 Jan 2025,07 Jan 2025,,Raast IBFT to IQRA PARVEEN,3249.37,13021.08,367505.01
06 Feb 2025,06 Feb 2025,,Raast IBFT to OMAR ZAMAN,13245.45,24083.41,171228.8
15 Jan 2025,15 Jan 2025,,INET Inter Bank Fund Transfer Charges,4162.89,21206.09,95000.36
23 Jan 2025,23 Jan 2025,585679,Mobile App MARYAM BEGUM,3328.14,17369.68,299762.15
23 Nov 2024,23 Nov 2024,854515,Raast IBFT to OMAR ZAMAN,15993.73,23250.59,423390.94
06 Jan 2025,06 Jan 2025,,INET Inter Bank Fund Transfer Charges,8344.98,15323.91,449057.04
04 Feb 2025,04 Feb 2025,,Raast IBFT to IQRA PARVEEN,16716.02,9036.73,182788.91
26 Jan 2025,26 Jan 2025,,INET Inter Bank Fund Transfer Charges,5627.52,12442.38,465180.87
07 Feb 2025,07 Feb 2025,,Mobile App MARYAM BEGUM,6004.39,18991.22,151700.24
19 Nov 2024,19 Nov 2024,470490,Raast IBFT to IQRA PARVEEN,4834.78,14919.89,128963.14
10 Nov 2024,10 Nov 2024,,Mobile App MARYAM BEGUM,24189.98,8791.76,157025.81
27 Nov 2024,27 Nov 2024,606900,Mobile App MARYAM BEGUM,4364.31,2278.17,314936.15
23 Jan 2025,23 Jan 2025,813926,Raast IBFT to IQRA PARVEEN,20003.76,22599.84,383416.8
16 Dec 2024,16 Dec 2024,945924,Raast IBFT to IQRA PARVEEN,20266.74,5681.32,233860.24
26 Dec 2024,26 Dec 2024,,Raast IBFT to IQRA PARVEEN,20232.38,1282.84,61986.19
16 Dec 2024,16 Dec 2024,257134,INET Inter Bank Fund Transfer Charges,1971.6,20105.85,440272.06
30 Jan 2025,30 Jan 2025,,Mobile App MARYAM BEGUM,8715.64,22146.84,393664.76
16 Jan 2025,16 Jan 2025,,INET Inter Bank Fund Transfer Charges,19954.85,5921.15,263041.28
03 Nov 2024,03 Nov 2024,,Mobile App MARYAM BEGUM,10109.41,12355.9,142469.56
14 Jan 2025,14 Jan 2025,,INET Inter Bank Fund Transfer Charges,1257.84,4942.71,349551.88
13 Nov 2024,13 Nov 2024,812646,INET Inter Bank Fund Transfer Charges,3347.27,19575.7,245648.78
29 Jan 2025,29 Jan 2025,,Raast IBFT to OMAR ZAMAN,7942.49,11813.36,17726.53
15 Dec 2024,15 Dec 2024,548518,INET Inter Bank Fund Transfer Charges,19102.61,462.61,245382.01
27 Jan 2025,27 Jan 2025,,Raast IBFT to IQRA PARVEEN,4586.69,7911.36,344359.08
17 Dec 2024,17 Dec 2024,992263,Raast IBFT to IQRA PARVEEN,24636.25,15008.37,39075.23
08 Dec 2024,08 Dec 2024,,Raast IBFT to IQRA PARVEEN,5050.87,19593.97,162031.43
06 Jan 2025,06 Jan 2025,,INET Inter Bank Fund Transfer Charges,10420.92,16357.52,191131.78
04 Nov 2024,04 Nov 2024,458103,INET Inter Bank Fund Transfer Charges,20732.96,6024.34,93035.31
16 Dec 2024,16 Dec 2024,,Raast IBFT to OMAR ZAMAN,1981.22,3695.75,200948.17
02 Nov 2024,02 Nov 2024,365941,Raast IBFT to IQRA PARVEEN,5331.23,21536.62,438625.06
28 Jan 2025,28 Jan 2025,813430,Raast IBFT to OMAR ZAMAN,8314.43,5007.87,327943.31
17 Dec 2024,17 Dec 2024,671063,Raast IBFT to OMAR ZAMAN,10334.68,11480.24,442275.99
09 Dec 2024,09 Dec 2024,,INET Inter Bank Fund Transfer Charges,11589.43,10033.27,64351.63
10 Jan 2025,10 Jan 2025,,INET Inter Bank Fund Transfer Charges,17156.78,12529.09,305353.1
17 Nov 2024,17 Nov 2024,400536,INET Inter Bank Fund Transfer Charges,9165.43,16119.34,499079.04
13 Jan 2025,13 Jan 2025,,INET Inter Bank Fund Transfer Charges,14340.57,16046.01,382752.95
30 Jan 2025,30 Jan 2025,826896,Raast IBFT to OMAR ZAMAN,16379.54,20280.56,174670.64
08 Dec 2024,08 Dec 2024,983115,INET Inter Bank Fund Transfer Charges,24246.29,5913.74,45906.25
04 Feb 2025,04 Feb 2025,497529,Raast IBFT to IQRA PARVEEN,10435.61,12451.04,345180.28
20 Jan 2025,20 Jan 2025,,Mobile App MARYAM BEGUM,14108.1,13583.01,288805.92
17 Jan 2025,17 Jan 2025,,INET Inter Bank Fund Transfer Charges,23161.73,4976.6,15887.95
12 Nov 2024,12 Nov 2024,,Raast IBFT to OMAR ZAMAN,6246.12,8502.9,172597.7
03 Jan 2025,03 Jan 2025,910767,Mobile App MARYAM BEGUM,22736.63,16241.05,494124.24
15 Dec 2024,15 Dec 2024,,Raast IBFT to OMAR ZAMAN,5363.56,17404.21,141401.95
01 Jan 2025,01 Jan 2025,999562,Mobile App MARYAM BEGUM,21813.48,12321.2,302694.4
08 Nov 2024,08 Nov 2024,896103,INET Inter Bank Fund Transfer Charges,9925.28,11166.21,324472.07
07 Nov 2024,07 Nov 2024,217013,Raast IBFT to OMAR ZAMAN,19337.64,1310.09,66413.38
18 Dec 2024,18 Dec 2024,,INET Inter Bank Fund Transfer Charges,23367.96,22620.98,420485.73
05 Nov 2024,05 Nov 2024,,Mobile App MARYAM BEGUM,2248.6,14413.06,150704.26
23 Nov 2024,23 Nov 2024,,Mobile App MARYAM BEGUM,21378.98,20174.01,195596.23
19 Nov 2024,19 Nov 2024,180752,Mobile App MARYAM BEGUM,5007.05,10537.54,435249.55
15 Dec 2024,15 Dec 2024,,INET Inter Bank Fund Transfer Charges,22469.64,11961.06,431099.95
24 Jan 2025,24 Jan 2025,,INET Inter Bank Fund Transfer Charges,5902.18,14347.05,491961.79
04 Nov 2024,04 Nov 2024,989425,Raast IBFT to IQRA PARVEEN,4884.59,20873.86,256546.46
28 Jan 2025,28 Jan 2025,,Mobile App MARYAM BEGUM,23945.92,11501.56,64634.49
23 Jan 2025,23 Jan 2025,,Mobile App MARYAM BEGUM,22368.69,2422.56,227099.91
04 Dec 2024,04 Dec 2024,,Raast IBFT to OMAR ZAMAN,1617.86,17632.45,428504.9
07 Jan 2025,07 Jan 2025,,Raast IBFT to IQRA PARVEEN,7761.42,17870.81,477486.03
05 Nov 2024,05 Nov 2024,535612,Raast IBFT to OMAR ZAMAN,17802.89,24626.79,285182.64
19 Dec 2024,19 Dec 2024,778779,INET Inter Bank Fund Transfer Charges,23554.73,23494.96,37781.48
18 Dec 2024,18 Dec 2024,,Raast IBFT to OMAR ZAMAN,23178.2,11847.96,492662.09
30 Jan 2025,30 Jan 2025,,Raast IBFT to OMAR ZAMAN,20297.61,12315.41,102021.7
05 Dec 2024,05 Dec 2024,,Raast IBFT to OMAR ZAMAN,20698.15,10002.33,10262.9
18 Nov 2024,18 Nov 2024,317851,Mobile App MARYAM BEGUM,7146.72,11599.66,89662.76
28 Nov 2024,28 Nov 2024,812303,Raast IBFT to OMAR ZAMAN,5699.54,17012.94,316779.0
17 Nov 2024,17 Nov 2024,,Raast IBFT to OMAR ZAMAN,18418.4,4661.89,67025.77
27 Nov 2024,27 Nov 2024,001398,Raast IBFT to IQRA PARVEEN,1760.85,14248.41,378432.52
24 Jan 2025,24 Jan 2025,,Raast IBFT to OMAR ZAMAN,21622.54,8353.8,99805.63
20 Nov 2024,20 Nov 2024,,Mobile App MARYAM BEGUM,6968.32,13680.48,377130.38
30 Dec 2024,30 Dec 2024,678744,Raast IBFT to OMAR ZAMAN,22285.47,12399.31,156401.83
11 Dec 2024,11 Dec 2024,,Mobile App MARYAM BEGUM,19913.57,7658.2,110366.11
14 Nov 2024,14 Nov 2024,769009,Raast IBFT to IQRA PARVEEN,13005.69,2793.02,57887.31
06 Feb 2025,06 Feb 2025,566028,INET Inter Bank Fund Transfer Charges,6474.65,1426.56,225052.39
08 Jan 2025,08 Jan 2025,,Mobile App MARYAM BEGUM,2528.98,23503.01,461390.1
07 Feb 2025,07 Feb 2025,930714,Raast IBFT to OMAR ZAMAN,24979.97,2284.87,160692.25
16 Dec 2024,16 Dec 2024,,Mobile App MARYAM BEGUM,14328.64,24571.4,238962.86
23 Jan 2025,23 Jan 2025,617707,Mobile App MARYAM BEGUM,3130.52,4493.51,31313.68
06 Dec 2024,06 Dec 2024,757303,Mobile App MARYAM BEGUM,24783.19,17460.75,391986.29
04 Jan 2025,04 Jan 2025,,Mobile App MARYAM BEGUM,20533.36,21937.0,43565.59
04 Feb 2025,04 Feb 2025,,Raast IBFT to IQRA PARVEEN,13999.69,11298.32,390368.42
02 Feb 2025,02 Feb 2025,,Mobile App MARYAM BEGUM,2995.84,8578.14,374520.02
28 Dec 2024,28 Dec 2024,810189,Raast IBFT to IQRA PARVEEN,21465.62,20110.14,472811.65
12 Dec 2024,12 Dec 2024,665984,Mobile App MARYAM BEGUM,24943.05,3310.83,147570.69
18 Jan 2025,18 Jan 2025,,Raast IBFT to OMAR ZAMAN,11451.74,24997.38,195592.47
23 Nov 2024,23 Nov 2024,,Raast IBFT to IQRA PARVEEN,6252.06,15180.52,195542.76
21 Nov 2024,21 Nov 2024,052991,Mobile App MARYAM BEGUM,3566.93,8720.95,37129.23
02 Jan 2025,02 Jan 2025,,Raast IBFT to IQRA PARVEEN,16027.92,13406.38,95201.36
27 Jan 2025,27 Jan 2025,,INET Inter Bank Fund Transfer Charges,18849.81,2748.01,467091.3
17 Dec 2024,17 Dec 2024,253920,Raast IBFT to OMAR ZAMAN,2451.83,8167.92,250486.28
01 Dec 2024,01 Dec 2024,053000,Raast IBFT to IQRA PARVEEN,4599.53,7354.96,317624.62
25 Jan 2025,25 Jan 2025,865918,Raast IBFT to IQRA PARVEEN,10507.8,14148.13,462129.24
11 Nov 2024,11 Nov 2024,,INET Inter Bank Fund Transfer Charges,21165.94,15274.99,49335.11
07 Jan 2025,07 Jan 2025,277778,Mobile App MARYAM BEGUM,10004.96,16726.29,478963.45
11 Nov 2024,11 Nov 2024,,Raast IBFT to OMAR ZAMAN,1751.34,2768.48,363478.39
29 Jan 2025,29 Jan 2025,697859,Raast IBFT to IQRA PARVEEN,3829.59,488.77,125287.54
11 Nov 2024,11 Nov 2024,714395,Raast IBFT to OMAR ZAMAN,18836.03,4253.13,94754.21
20 Nov 2024,20 Nov 2024,,Mobile App MARYAM BEGUM,24854.45,23366.98,153870.87
09 Feb 2025,09 Feb 2025,,INET Inter Bank Fund Transfer Charges,22792.99,5291.04,325915.51
22 Nov 2024,22 Nov 2024,,Raast IBFT to IQRA PARVEEN,17655.55,12150.63,359522.88
01 Feb 2025,01 Feb 2025,,Raast IBFT to IQRA PARVEEN,14223.4,7261.35,302994.93
21 Nov 2024,21 Nov 2024,696625,Raast IBFT to IQRA PARVEEN,19079.23,10504.51,104647.06
12 Nov 2024,12 Nov 2024,,INET Inter Bank Fund Transfer Charges,8565.95,19508.09,284065.35
02 Dec 2024,02 Dec 2024,,Mobile App MARYAM BEGUM,8582.39,958.85,396329.82
10 Jan 2025,10 Jan 2025,082049,Raast IBFT to OMAR ZAMAN,10023.98,9834.94,412151.22
21 Jan 2025,21 Jan 2025,,INET Inter Bank Fund Transfer Charges,23172.87,13418.92,466926.58
31 Jan 2025,31 Jan 2025,531084,Raast IBFT to IQRA PARVEEN,19568.68,7997.55,249355.59
04 Jan 2025,04 Jan 2025,923933,Raast IBFT to OMAR ZAMAN,18658.27,20608.96,315505.16
09 Dec 2024,09 Dec 2024,,Mobile App MARYAM BEGUM,4797.25,1757.37,375807.8
23 Jan 2025,23 Jan 2025,440824,INET Inter Bank Fund Transfer Charges,6647.69,589.5,487514.33
26 Jan 2025,26 Jan 2025,172952,Mobile App MARYAM BEGUM,3722.99,2063.62,359653.48
26 Nov 2024,26 Nov 2024,,Mobile App MARYAM BEGUM,14941.24,3905.66,473238.78
23 Jan 2025,23 Jan 2025,,INET Inter Bank Fund Transfer Charges,3162.64,16584.39,252913.09
14 Jan 2025,14 Jan 2025,,INET Inter Bank Fund Transfer Charges,18979.11,23760.09,31145.31
20 Nov 2024,20 Nov 2024,,INET Inter Bank Fund Transfer Charges,13170.71,2516.13,42953.78
23 Dec 2024,23 Dec 2024,,INET Inter Bank Fund Transfer Charges,21805.17,9834.92,164452.44
06 Dec 2024,06 Dec 2024,269520,Raast IBFT to IQRA PARVEEN,21108.82,18526.06,342334.8
16 Nov 2024,16 Nov 2024,162447,Mobile App MARYAM BEGUM,1523.55,5946.38,290737.4
06 Dec 2024,06 Dec 2024,,Mobile App MARYAM BEGUM,8451.85,21578.68,41138.98
02 Dec 2024,02 Dec 2024,505156,INET Inter Bank Fund Transfer Charges,7857.88,22206.17,163860.04
06 Nov 2024,06 Nov 2024,260818,Raast IBFT to OMAR ZAMAN,22436.24,22719.21,220558.37
28 Dec 2024,28 Dec 2024,,Raast IBFT to OMAR ZAMAN,11892.86,22309.74,202044.65
21 Nov 2024,21 Nov 2024,,Mobile App MARYAM BEGUM,6177.89,19941.7,88634.6
15 Jan 2025,15 Jan 2025,796347,Mobile App MARYAM BEGUM,9453.26,1309.96,236344.47
03 Dec 2024,03 Dec 2024,,INET Inter Bank Fund Transfer Charges,20323.86,10059.85,283255.97
09 Jan 2025,09 Jan 2025,506744,Raast IBFT to OMAR ZAMAN,10566.51,20677.98,81598.03
22 Dec 2024,22 Dec 2024,056147,Mobile App MARYAM BEGUM,15165.91,10914.54,91301.42
13 Jan 2025,13 Jan 2025,,INET Inter Bank Fund Transfer Charges,13607.35,4393.32,40309.95
25 Nov 2024,25 Nov 2024,497101,Raast IBFT to OMAR ZAMAN,12912.9,17485.6,189402.51
14 Nov 2024,14 Nov 2024,403897,Mobile App MARYAM BEGUM,4290.28,8461.59,228034.27
23 Nov 2024,23 Nov 2024,,INET Inter Bank Fund Transfer Charges,20654.59,6481.87,401975.57
07 Dec 2024,07 Dec 2024,424207,Raast IBFT to IQRA PARVEEN,4372.62,20683.36,199713.1
09 Jan 2025,09 Jan 2025,195182,Raast IBFT to IQRA PARVEEN,23967.49,13145.87,11068.45
24 Nov 2024,24 Nov 2024,,Mobile App MARYAM BEGUM,13051.69,19708.15,419295.0
09 Jan 2025,09 Jan 2025,,INET Inter Bank Fund Transfer Charges,20677.44,13857.49,189108.52
27 Dec 2024,27 Dec 2024,,Mobile App MARYAM BEGUM,4965.63,16096.59,397447.34
27 Dec 2024,27 Dec 2024,380580,Raast IBFT to IQRA PARVEEN,14021.41,356.32,135988.24
05 Feb 2025,05 Feb 2025,,Raast IBFT to IQRA PARVEEN,17304.03,18379.28,95017.46
06 Feb 2025,06 Feb 2025,,Mobile App MARYAM BEGUM,22964.65,22399.55,45003.27
18 Jan 2025,18 Jan 2025,320985,INET Inter Bank Fund Transfer Charges,7893.79,17263.59,224281.2
06 Dec 2024,06 Dec 2024,,Mobile App MARYAM BEGUM,2407.44,8442.22,322935.88
20 Jan 2025,20 Jan 2025,700318,Raast IBFT to IQRA PARVEEN,9970.8,9761.86,483855.03
09 Nov 2024,09 Nov 2024,083789,Mobile App MARYAM BEGUM,11501.37,21319.74,252406.09
14 Jan 2025,14 Jan 2025,,Raast IBFT to IQRA PARVEEN,11661.92,2759.06,350686.53
18 Jan 2025,18 Jan 2025,175591,Raast IBFT to IQRA PARVEEN,18808.78,7686.13,164965.74
12 Dec 2024,12 Dec 2024,749912,Raast IBFT to IQRA PARVEEN,21874.85,21226.36,65264.82
19 Nov 2024,19 Nov 2024,,INET Inter Bank Fund Transfer Charges,17649.12,9101.96,45580.76
29 Jan 2025,29 Jan 2025,414777,Raast IBFT to OMAR ZAMAN,11076.81,5916.64,59112.99
