Date,Value Date,Instrument No.,Particulars,Debit,Credit,Balance
08 Feb 2025,08 Feb 2025,028127,Mobile App MARYAM BEGUM,7352.21,13328.56,445007.04
31 Jan 2025,31 Jan 2025,,INET Inter Bank Fund Transfer Charges,2133.09,317.33,59397.0
17 Dec 2024,17 Dec 2024,796186,Raast IBFT to OMAR ZAMAN,16132.56,23284.05,282690.67
14 Jan 2025,14 Jan 2025,710039,Raast IBFT to IQRA PARVEEN,1768.46,20950.88,486386.43
13 Dec 2024,13 Dec 2024,003108,Raast IBFT to IQRA PARVEEN,2664.16,4027.17,197449.24
20 Nov 2024,20 Nov 2024,122934,Raast IBFT to IQRA PARVEEN,2236.6,10526.18,152434.65
17 Dec 2024,17 Dec 2024,431060,Raast IBFT to IQRA PARVEEN,5167.08,9786.97,280510.33
23 Dec 2024,23 Dec 2024,,Raast IBFT to OMAR ZAMAN,6650.81,23078.31,110934.55
13 Jan 2025,13 Jan 2025,912447,Raast IBFT to IQRA PARVEEN,5691.35,2547.34,257793.48
07 Jan 2025,07 Jan 2025,139714,Raast IBFT to OMAR ZAMAN,3732.97,17222.86,78593.57
17 Jan 2025,17 Jan 2025,,INET Inter Bank Fund Transfer Charges,13057.59,19712.07,115658.67
08 Nov 2024,08 Nov 2024,294226,Raast IBFT to OMAR ZAMAN,16794.07,23599.61,367098.9
23 Jan 2025,23 Jan 2025,227920,Mobile App MARYAM BEGUM,7479.62,1848.05,237856.9
22 Dec 2024,22 Dec 2024,598415,Raast IBFT to IQRA PARVEEN,14025.02,13794.36,134716.53
11 Jan 2025,11 Jan 2025,002473,INET Inter Bank Fund Transfer Charges,20757.49,18694.78,297333.46
25 Jan 2025,25 Jan 2025,,Raast IBFT to IQRA PARVEEN,10323.88,14015.05,130766.63
08 Jan 2025,08 Jan 2025,,Mobile App MARYAM BEGUM,1141.83,22288.91,110907.99
14 Jan 2025,14 Jan 2025,,Mobile App MARYAM BEGUM,1099.38,20979.54,380651.83
09 Nov 2024,09 Nov 2024,,Mobile App MARYAM BEGUM,23910.14,2059.13,292976.38
04 Nov 2024,04 Nov 2024,,Mobile App MARYAM BEGUM,13131.36,18577.84,146568.29
08 Feb 2025,08 Feb 2025,199443,Raast IBFT to OMAR ZAMAN,4072.93,2363.37,453235.89
04 Jan 2025,04 Jan 2025,,Raast IBFT to IQRA PARVEEN,24106.27,23131.65,129407.06
06 Nov 2024,06 Nov 2024,013806,Raast IBFT to OMAR ZAMAN,21030.73,8957.42,444492.18
12 Dec 2024,12 Dec 2024,,INET Inter Bank Fund Transfer Charges,11498.27,13014.31,75659.4
07 Nov 2024,07 Nov 2024,,Raast IBFT to IQRA PARVEEN,1515.37,13261.2,230966.87
14 Nov 2024,14 Nov 2024,,Mobile App MARYAM BEGUM,2922.92,14336.65,439537.79
30 Nov 2024,30 Nov 2024,,INET Inter Bank Fund Transfer Charges,9409.07,13137.61,107008.11
07 Feb 2025,07 Feb 2025,355012,Raast IBFT to OMAR ZAMAN,1710.81,20620.64,497897.91
28 Dec 2024,28 Dec 2024,222408,Raast IBFT to OMAR ZAMAN,14105.98,17824.45,311685.04
26 Dec 2024,26 Dec 2024,073672,Raast IBFT to OMAR ZAMAN,18782.16,22038.45,196605.76
29 Dec 2024,29 Dec 2024,,Mobile App MARYAM BEGUM,14922.83,24130.27,149647.25
24 Nov 2024,24 Nov 2024,477878,Raast IBFT to OMAR ZAMAN,17614.52,24764.38,402181.61
24 Nov 2024,24 Nov 2024,,Raast IBFT to OMAR ZAMAN,6633.47,23107.06,295303.57
07 Jan 2025,07 Jan 2025,455078,INET Inter Bank Fund Transfer Charges,4609.64,1538.97,92505.0
30 Dec 2024,30 Dec 2024,050674,Raast IBFT to IQRA PARVEEN,1672.95,21033.88,485004.31
22 Jan 2025,22 Jan 2025,,INET Inter Bank Fund Transfer Charges,19793.05,18789.48,461396.88
31 Dec 2024,31 Dec 2024,584851,Raast IBFT to IQRA PARVEEN,10508.57,22092.92,39867.38
19 Nov 2024,19 Nov 2024,,Raast IBFT to IQRA PARVEEN,16034.89,11906.89,337681.97
02 Dec 2024,02 Dec 2024,078508,Raast IBFT to OMAR ZAMAN,7890.79,5038.08,95242.32
11 Dec 2024,11 Dec 2024,,Raast IBFT to OMAR ZAMAN,7745.32,9738.72,230790.82
04 Feb 2025,04 Feb 2025,441252,Mobile App MARYAM BEGUM,16772.79,23076.52,153542.83
15 Dec 2024,15 Dec 2024,,Mobile App MARYAM BEGUM,18412.02,7602.83,408329.49
07 Nov 2024,07 Nov 2024,662255,Mobile App MARYAM BEGUM,5389.81,21443.47,127298.1
01 Jan 2025,01 Jan 2025,024275,INET Inter Bank Fund Transfer Charges,10283.66,23609.62,457392.75
28 Jan 2025,28 Jan 2025,560187,Raast IBFT to OMAR ZAMAN,23014.62,13664.39,443007.92
01 Nov 2024,01 Nov 2024,209237,Mobile App MARYAM BEGUM,13616.32,12866.55,408452.5
05 Nov 2024,05 Nov 2024,663324,Mobile App MARYAM BEGUM,13069.39,7978.83,157935.24
12 Nov 2024,12 Nov 2024,051945,Raast IBFT to IQRA PARVEEN,24191.49,19960.51,417140.57
05 Feb 2025,05 Feb 2025,685806,Raast IBFT to IQRA PARVEEN,15929.17,10984.21,355398.27
03 Jan 2025,03 Jan 2025,,INET Inter Bank Fund Transfer Charges,8692.23,22421.29,124995.09
05 Feb 2025,05 Feb 2025,085168,Mobile App MARYAM BEGUM,16336.74,7674.66,278606.48
25 Dec 2024,25 Dec 2024,917274,Mobile App MARYAM BEGUM,15163.57,8586.61,292897.13
23 Nov 2024,23 Nov 2024,903750,Raast IBFT to IQRA PARVEEN,15380.7,16711.82,385117.62
10 Dec 2024,10 Dec 2024,,Raast IBFT to IQRA PARVEEN,5531.99,11.23,294681.93
