Date,Value Date,Instrument No.,Particulars,Debit,Credit,Balance
01 Nov 2024,01 Nov 2024,,Raast IBFT to IQRA PARVEEN,11306.9,0.0,279762.59
02 Nov 2024,02 Nov 2024,,INET Inter Bank Fund Transfer Charges,17400.11,18638.13,271218.09
03 Nov 2024,03 Nov 2024,,Raast IBFT to IQRA PARVEEN,23055.76,0.0,411913.55
04 Nov 2024,04 Nov 2024,,Raast IBFT to OMAR ZAMAN,20928.26,0.0,199570.16
05 Nov 2024,05 Nov 2024,694977 167229,INET Inter Bank Fund Transfer Charges,22904.04,0.0,173572.15
06 Nov 2024,06 Nov 2024,,Raast IBFT to IQRA PARVEEN,5717.02,0.0,333693.26
07 Nov 2024,07 Nov 2024,,Mobile App MARYAM BEGUM,12386.14,9495.56,420141.2
08 Nov 2024,08 Nov 2024,554915 335784,Raast IBFT to IQRA PARVEEN,9080.31,0.0,346789.48
09 Nov 2024,09 Nov 2024,791927 513832,Raast IBFT to IQRA PARVEEN,11439.83,7733.0,154144.29
10 Nov 2024,10 Nov 2024,370879 922605,Raast IBFT to IQRA PARVEEN,23096.61,0.0,488616.86
11 Nov 2024,11 Nov 2024,,Mobile App MARYAM BEGUM,10775.3,0.0,439746.34
12 Nov 2024,12 Nov 2024,124933 978516,Raast IBFT to OMAR ZAMAN,18273.48,0.0,101999.67
13 Nov 2024,13 Nov 2024,963058 350528,Mobile App MARYAM BEGUM,3145.89,560.06,307107.05
14 Nov 2024,14 Nov 2024,320512 803018,Raast IBFT to OMAR ZAMAN,12642.25,4594.33,212028.21
15 Nov 2024,15 Nov 2024,965491 624251,Mobile App MARYAM BEGUM,22010.14,24993.21,107456.75
16 Nov 2024,16 Nov 2024,,Raast IBFT to OMAR ZAMAN,11527.5,9237.41,436638.51
17 Nov 2024,17 Nov 2024,,Mobile App MARYAM BEGUM,24726.2,8079.65,465523.4
18 Nov 2024,18 Nov 2024,,Raast IBFT to OMAR ZAMAN,7899.14,0.0,111005.76
19 Nov 2024,19 Nov 2024,,INET Inter Bank Fund Transfer Charges,14326.5,14273.83,101123.72
20 Nov 2024,20 Nov 2024,307730 826052,Mobile App MARYAM BEGUM,7304.73,23319.67,246843.32
21 Nov 2024,21 Nov 2024,507906 892638,Raast IBFT to IQRA PARVEEN,14050.24,16327.21,369823.56
22 Nov 2024,22 Nov 2024,754801 342221,Raast IBFT to IQRA PARVEEN,19363.32,0.0,316210.1
23 Nov 2024,23 Nov 2024,718167 614776,Raast IBFT to OMAR ZAMAN,20673.16,5367.66,399691.12
24 Nov 2024,24 Nov 2024,,Raast IBFT to OMAR ZAMAN,20580.35,15429.29,421079.04
25 Nov 2024,25 Nov 2024,,Mobile App MARYAM BEGUM,5051.2,15486.98,245322.22
26 Nov 2024,26 Nov 2024,,INET Inter Bank Fund Transfer Charges,24745.43,4255.0,493853.86
27 Nov 2024,27 Nov 2024,315117 470762,INET Inter Bank Fund Transfer Charges,24348.01,0.0,316831.58
28 Nov 2024,28 Nov 2024,,INET Inter Bank Fund Transfer Charges,9584.65,0.0,147685.14
29 Nov 2024,29 Nov 2024,201452 942541,Raast IBFT to OMAR ZAMAN,19034.87,11508.8,324326.89
30 Nov 2024,30 Nov 2024,533186 899972,Raast IBFT to OMAR ZAMAN,13842.16,0.0,170517.71
01 Dec 2024,01 Dec 2024,,Raast IBFT to IQRA PARVEEN,17804.51,0.0,356868.77
02 Dec 2024,02 Dec 2024,,INET Inter Bank Fund Transfer Charges,14094.43,20612.17,151090.1
03 Dec 2024,03 Dec 2024,884091 434498,Mobile App MARYAM BEGUM,24504.29,0.0,103539.22
04 Dec 2024,04 Dec 2024,557108 913986,INET Inter Bank Fund Transfer Charges,19916.56,17962.96,198297.55
05 Dec 2024,05 Dec 2024,,Raast IBFT to OMAR ZAMAN,17301.01,9195.87,113330.87
06 Dec 2024,06 Dec 2024,,Mobile App MARYAM BEGUM,7503.47,0.0,231689.35
07 Dec 2024,07 Dec 2024,825679 870902,Raast IBFT to OMAR ZAMAN,16657.38,0.0,428472.71
08 Dec 2024,08 Dec 2024,292845 621670,Mobile App MARYAM BEGUM,976.18,0.0,168954.8
09 Dec 2024,09 Dec 2024,,Mobile App MARYAM BEGUM,17050.6,24426.28,271790.37
10 Dec 2024,10 Dec 2024,157127 361148,Raast IBFT to IQRA PARVEEN,20814.58,0.0,457172.52
11 Dec 2024,11 Dec 2024,356710 745473,Raast IBFT to OMAR ZAMAN,17169.67,8769.44,360729.33
12 Dec 2024,12 Dec 2024,,Raast IBFT to IQRA PARVEEN,734.59,18831.52,263524.07
13 Dec 2024,13 Dec 2024,,INET Inter Bank Fund Transfer Charges,17479.49,22463.01,490081.2
14 Dec 2024,14 Dec 2024,,Raast IBFT to OMAR ZAMAN,15820.56,0.0,428651.84
15 Dec 2024,15 Dec 2024,,Raast IBFT to OMAR ZAMAN,20535.5,0.0,423610.64
16 Dec 2024,16 Dec 2024,,INET Inter Bank Fund Transfer Charges,7127.24,10665.55,105154.33
17 Dec 2024,17 Dec 2024,,Mobile App MARYAM BEGUM,11314.07,0.0,199439.83
18 Dec 2024,18 Dec 2024,,Raast IBFT to IQRA PARVEEN,2265.07,0.0,408954.98
19 Dec 2024,19 Dec 2024,544966 984086,Mobile App MARYAM BEGUM,14740.48,8134.51,167508.17
20 Dec 2024,20 Dec 2024,707863 724793,Raast IBFT to IQRA PARVEEN,15665.68,15682.47,175408.28
21 Dec 2024,21 Dec 2024,853880 375764,INET Inter Bank Fund Transfer Charges,19430.19,2185.34,360060.88
22 Dec 2024,22 Dec 2024,,INET Inter Bank Fund Transfer Charges,11135.03,0.0,307650.59
23 Dec 2024,23 Dec 2024,982194 714451,Raast IBFT to OMAR ZAMAN,17270.31,2440.75,499761.14
24 Dec 2024,24 Dec 2024,,INET Inter Bank Fund Transfer Charges,9412.83,0.0,357248.32
25 Dec 2024,25 Dec 2024,304335 624590,Mobile App MARYAM BEGUM,4310.16,7882.88,207132.44
26 Dec 2024,26 Dec 2024,,INET Inter Bank Fund Transfer Charges,10215.17,9358.15,137864.61
27 Dec 2024,27 Dec 2024,133764 639062,Raast IBFT to OMAR ZAMAN,23463.29,0.0,324387.26
28 Dec 2024,28 Dec 2024,645179 270137,Raast IBFT to IQRA PARVEEN,16317.27,11855.99,321139.09
29 Dec 2024,29 Dec 2024,227635 557477,Raast IBFT to IQRA PARVEEN,6222.95,0.0,282076.25
30 Dec 2024,30 Dec 2024,,Raast IBFT to OMAR ZAMAN,22150.93,0.0,364939.76
31 Dec 2024,31 Dec 2024,383206 257209,Raast IBFT to OMAR ZAMAN,4519.57,0.0,262942.28
01 Jan 2025,01 Jan 2025,,INET Inter Bank Fund Transfer Charges,7556.21,10329.55,105894.23
02 Jan 2025,02 Jan 2025,,INET Inter Bank Fund Transfer Charges,16545.07,9040.4,420105.28
03 Jan 2025,03 Jan 2025,,Raast IBFT to OMAR ZAMAN,18240.27,0.0,469565.51
04 Jan 2025,04 Jan 2025,,Mobile App MARYAM BEGUM,9429.32,0.0,191221.9
05 Jan 2025,05 Jan 2025,,Raast IBFT to OMAR ZAMAN,2416.28,4478.11,141684.87
06 Jan 2025,06 Jan 2025,368078 138498,Mobile App MARYAM BEGUM,4159.68,11286.01,312970.26
07 Jan 2025,07 Jan 2025,,Raast IBFT to IQRA PARVEEN,3294.32,0.0,264425.98
08 Jan 2025,08 Jan 2025,,Mobile App MARYAM BEGUM,24623.11,0.0,448295.53
09 Jan 2025,09 Jan 2025,562201 839570,Raast IBFT to IQRA PARVEEN,8538.81,0.0,261755.91
10 Jan 2025,10 Jan 2025,,Raast IBFT to OMAR ZAMAN,3764.52,23479.36,128197.88
11 Jan 2025,11 Jan 2025,446142 699700,Raast IBFT to IQRA PARVEEN,21489.5,0.0,140013.77
12 Jan 2025,12 Jan 2025,174116 241887,INET Inter Bank Fund Transfer Charges,22287.33,0.0,210148.52
13 Jan 2025,13 Jan 2025,465694 548631,INET Inter Bank Fund Transfer Charges,12327.39,10793.97,301321.26
14 Jan 2025,14 Jan 2025,,Mobile App MARYAM BEGUM,8811.05,10541.14,476949.35
15 Jan 2025,15 Jan 2025,723738 676944,Mobile App MARYAM BEGUM,7551.94,999.51,217494.49
16 Jan 2025,16 Jan 2025,,Raast IBFT to IQRA PARVEEN,16748.28,19361.13,168326.93
